region_code,sgg_name,sido,name,year,net_rate,in_rate,out_rate,net,gross_in,gross_out,gross,in_strength,out_strength,net_strength,in_deg_cent,out_deg_cent,deg_cent,betweenness,closeness,pagerank,population,ln_pop,pop_density,youth_pop,elderly_pop,youth_ratio,aging_ratio,aging_index,median_age,extinction_risk,hh_count,hh_size,nat_increase,dep_total,working_age_ratio,crude_marriage,fertility,aged_ratio_70p,fiscal_indep,employ_rate,unemp_rate,biz_count,worker_count,grdp_pc,manuf_share,car_per_capita,apt_price,housing_per1k,doctor_per1000,hospital_bed,univ_count,academy_pk,culture_facility_count,childcare_pk,senior_fac_pk,univ_student,area_km2,road_pavement_rate,water_supply,sewer_supply,house_age,seoul_dist_km,total_strength,net_rate_lag1,in_rate_lag1,out_rate_lag1,pagerank_lag1,betweenness_lag1,closeness_lag1,in_deg_cent_lag1,out_deg_cent_lag1,deg_cent_lag1,fiscal_indep_lag1,employ_rate_lag1,aging_ratio_lag1,youth_ratio_lag1,pop_density_lag1,doctor_per1000_lag1,d_net_rate,d_pagerank,d_betweenness,d_fiscal_indep,d_employ_rate,d_aging_ratio,d_youth_ratio,d_pop_density,ma3_net_rate,ma3_pagerank,ma3_fiscal_indep,covid_dummy,metro_dummy,major_city_dummy,city_size,large_city_dummy,small_city_dummy,pre_covid,post_covid,pagerank_x_covid,pagerank_x_metro,pagerank_lag1_x_covid,aging_x_fiscal,ln_pop_density,ln_population,ln_doctor,ln_area,ln_biz_count,ln_worker_count
46910,신안군,전라남도,전라남도 신안군,2021,-1.203652824659183,93.98958578643013,95.1932386110893,-46,3592,3638,7230,3592.0,3638.0,-46.0,0.8245614035087718,0.8114035087719298,1.6359649122807016,0.0,118.132588255396,0.0014463349224283,38217.0,10.551,58.29110945607732,3626.0,14400.0,9.487675964205348,37.67858077345753,585.3,60.0,0.2518055555555555,21843.0,1.75,-12.7,82.1,54.91,3.0,1.501,28.43,6.41,78.15,0.3,4583.0,,37.993,12.5,2.8,,,2.5,10.0,,0.2,11.0,17.0,21.7,,655.6231362999999,86.5,89.9,41.0,69.3,330.4,7230.0,-23.16503158867944,81.18033797318814,104.3453695618676,0.0012876935703229,0.0,126.60445260245515,0.8026315789473684,0.8245614035087718,1.6271929824561402,6.61,76.94999999999999,36.65476771360333,10.154343973907908,59.39559744464971,2.4,21.961378764020257,0.00015864135210540012,0.0,-0.20000000000000018,1.200000000000017,1.0238130598542057,-0.6666680097025601,-1.1044879885723873,-13.088877820784292,0.0013549916139521667,6.3999999999999995,1,0,0,small,0,1,0,0,0.0014463349224283,0.0,0.0012876935703229,241.5197027578628,4.082459369908468,10.551061887801316,1.252762968495368,6.487110240968175,8.430327258394575,
46910,신안군,전라남도,전라남도 신안군,2022,6.286650113582334,86.03201436948598,79.74536425590364,238,3257,3019,6276,3257.0,3019.0,238.0,0.7982456140350876,0.8070175438596491,1.6052631578947367,0.0,113.72793761959218,0.0014835717652505,37858.0,10.5416,57.72903993085335,3435.0,14637.0,9.073139808235824,38.66187696452627,610.0,60.3,0.234679237548678,21816.0,1.735,-14.2,83.1,54.61,3.0,1.298,29.01,6.69,78.5,0.55,4791.0,,35.041,12.5,3.3,,,2.3,10.1,,0.2,11.0,18.9,21.6,,655.7877983999999,93.0,90.3,40.2,68.9,330.4,6276.0,-1.203652824659183,93.98958578643013,95.1932386110893,0.0014463349224283,0.0,118.132588255396,0.8245614035087718,0.8114035087719298,1.6359649122807016,6.41,78.15,37.67858077345753,9.487675964205348,58.29110945607732,2.5,7.490302938241516,3.7236842822200005e-05,0.0,0.28000000000000025,0.3499999999999943,0.9832961910687388,-0.41453615596952353,-0.5620695252239756,-6.027344766585429,0.0014058667526672334,6.57,1,0,0,small,0,1,0,0,0.0014835717652505,0.0,0.0014463349224283,258.6479568926808,4.072934322233322,10.541624011313584,1.1939224684724346,6.487360980620956,8.474703139795285,
46910,신안군,전라남도,전라남도 신안군,2023,19.69135315613745,90.09648500144596,70.40513184530852,749,3427,2678,6105,3427.0,2678.0,749.0,0.7982456140350876,0.8026315789473684,1.600877192982456,0.0,112.9338778780964,0.0015025717968665,38037.0,10.5463,57.99587949468962,3416.0,14896.0,8.980493191019507,39.16083916083916,629.9,60.3,0.2293233082706766,21946.0,1.733,-15.3,82.9,54.67,2.5,1.164,28.71,6.94,79.3,0.35,4956.0,,,12.5,3.3,,,2.4,10.0,,0.2,11.0,16.3,21.5,,655.856939,93.0,90.9,41.8,68.8,330.4,6105.0,6.286650113582334,86.03201436948598,79.74536425590364,0.0014835717652505,0.0,113.72793761959218,0.7982456140350876,0.8070175438596491,1.6052631578947367,6.69,78.5,38.66187696452627,9.073139808235824,57.72903993085335,2.3,13.404703042555116,1.9000031615999885e-05,0.0,0.25,0.7999999999999972,0.4989621963128883,-0.0926466172163174,0.26683956383627105,8.2581168150202,0.0014774928281817666,6.68,0,0,0,small,0,1,0,1,0.0,0.0,0.0,271.7762237762238,4.0774676023938,10.546340939041606,1.2237754316221157,6.487466245915439,8.508555998020574,
46910,신안군,전라남도,전라남도 신안군,2024,17.60406570088806,89.82788882194222,72.22382312105414,672,3429,2757,6186,3429.0,2757.0,672.0,0.763157894736842,0.7587719298245613,1.5219298245614037,0.0,110.17395105039137,0.0014891877315092,38173.0,10.5499,58.16582069902698,3396.0,15276.0,8.896107298161052,40.01676533766438,646.2,60.1,0.2223095051060487,21964.0,1.738,-14.5,82.2,54.88,2.7,0.957,28.9,7.87,79.05,0.25,5382.0,,,12.5,3.5,,451.55,2.4,10.0,,0.2,11.0,17.0,21.3,,656.2788857999999,93.0,92.1,43.7,69.3,330.4,6186.0,19.69135315613745,90.09648500144596,70.40513184530852,0.0015025717968665,0.0,112.9338778780964,0.7982456140350876,0.8026315789473684,1.600877192982456,6.94,79.3,39.16083916083916,8.980493191019507,57.99587949468962,2.4,-2.0872874552493883,-1.3384065357299833e-05,0.0,0.9299999999999997,-0.25,0.8559261768252213,-0.08438589285845488,0.1699412043373627,14.527356323535948,0.0014917770978754002,7.166666666666667,0,0,0,small,0,1,0,1,0.0,0.0,0.0,314.93194320741867,4.080344022100529,10.549909934589838,1.2237754316221157,6.488108412130737,8.591001118560957,
47110,포항시,경상북도,경상북도 포항시,2009,-0.7596054762255262,53.94180283625301,54.70140831247853,-387,27482,27869,55351,27482.0,27869.0,-387.0,0.9956140350877192,0.9912280701754386,1.9868421052631573,0.0430867918695416,240.4051012249437,0.0055106403421859,509475.0,13.1411,450.58,88415.86666666667,80327.86666666667,28.65,9.69,,,1.2033179313211604,190790.0,2.67,3.0,,,5.9,1.208,6.06,49.74,,,,,,,0.4,,,1.9,10.8,4.0,1.6,16.0,16.6,7.7,,1130.721,,92.7,79.0,,271.9,55351.0,0.852162583961631,55.20753996603158,54.355377382069946,0.0054947789041442,0.0408261844037406,224.24192985669936,1.0,0.9912280701754386,1.9912280701754383,53.26,,9.33,29.27,449.38,1.8,-1.6117680601871571,1.586143804169996e-05,0.0022606074658009997,-3.519999999999996,,0.35999999999999943,-0.620000000000001,1.1999999999999886,0.04627855386805241,0.0055027096231650505,51.5,0,0,0,large,1,0,1,0,0.0,0.0,0.0,481.9806,6.112752544315182,13.141138025530534,1.0647107369924282,7.031494761954191,,
47110,포항시,경상북도,경상북도 포항시,2010,-0.2234072519936668,52.12188322600072,52.34529047799438,-115,26830,26945,53775,26830.0,26945.0,-115.0,1.0,1.0,2.0,0.0427583275369039,232.2973777671956,0.0055551894125599,514755.0,13.1514,455.24,88415.86666666667,80327.86666666667,28.05,9.91,,,1.2033179313211604,196411.0,2.621,3.5,,,6.3,1.33,6.36,41.4,,,,,,,0.4,,,1.9,11.9,4.0,1.5,14.0,19.8,7.5,,1130.721,,93.1,79.2,,271.9,53775.0,-0.7596054762255262,53.94180283625301,54.70140831247853,0.0055106403421859,0.0430867918695416,240.4051012249437,0.9956140350877192,0.9912280701754386,1.9868421052631573,49.74,,9.69,28.65,450.58,1.9,0.5361982242318595,4.454907037399966e-05,-0.0003284643326376957,-8.340000000000003,,0.22000000000000064,-0.5999999999999979,4.660000000000025,-0.04361671475252066,0.005520202886296666,48.13333333333333,0,0,0,large,1,0,1,0,0.0,0.0,0.0,410.274,6.123018986848283,13.151448280965862,1.0647107369924282,7.031494761954191,,
47110,포항시,경상북도,경상북도 포항시,2011,0.7716288136642119,51.09188377993688,50.32025496627267,399,26419,26020,52439,26419.0,26020.0,399.0,1.0,0.9912280701754386,1.9912280701754383,0.0404590772084395,225.30035455911343,0.0057772638299842,517088.0,13.156,457.31,103245.0,52592.0,19.96658215510289,10.170782979332378,,,1.9631312747185885,199120.0,2.597,3.6,,,6.3,1.359,6.68,40.45,,,,,,,0.4,,,2.0,12.3,4.0,1.6,15.0,22.4,7.3,,1130.721,,94.0,79.3,,271.9,52439.0,-0.2234072519936668,52.12188322600072,52.34529047799438,0.0055551894125599,0.0427583275369039,232.2973777671956,1.0,1.0,2.0,41.4,,9.91,28.05,455.24,1.9,0.9950360656578787,0.00022207441742430004,-0.002299250328464404,-0.9499999999999957,,0.2607829793323777,-8.08341784489711,2.069999999999993,-0.07046130485166036,0.005614364528243334,43.86333333333334,0,0,0,large,1,0,1,0,0.0,0.0,0.0,411.4081715139947,6.127545811045741,13.155970285676906,1.0986122886681098,7.031494761954191,,
47110,포항시,경상북도,경상북도 포항시,2012,-0.1329702666921044,51.30532478469416,51.43829505138626,-69,26623,26692,53315,26623.0,26692.0,-69.0,0.9956140350877192,1.0,1.9956140350877192,0.0522258288894041,231.60114969212887,0.0060175612465922,518913.0,13.1595,458.92,102482.0,55547.0,19.74932262378737,10.704471261133827,,,1.8449601238590745,202148.0,2.567,3.9,,,6.4,1.424,7.17,42.57,,,,,,,0.4,,,2.1,13.0,4.0,1.6,16.0,23.0,7.0,,1130.721,,94.2,79.4,,271.9,53315.0,0.7716288136642119,51.09188377993688,50.32025496627267,0.0057772638299842,0.0404590772084395,225.30035455911343,1.0,0.9912280701754386,1.9912280701754383,40.45,,10.170782979332378,19.96658215510289,457.31,2.0,-0.9045990803563163,0.00024029741660800026,0.011766751680964603,2.1199999999999974,,0.5336882818014494,-0.2172595313155199,1.6100000000000136,0.13841709832614688,0.005783338163045433,41.473333333333336,0,0,0,large,1,0,1,0,0.0,0.0,0.0,455.68934158646704,6.131052561315036,13.159493445142191,1.1314021114911006,7.031494761954191,,
47110,포항시,경상북도,경상북도 포항시,2013,-2.4602140270700548,46.3744568952407,48.83467092231075,-1278,24090,25368,49458,24090.0,25368.0,-1278.0,0.9956140350877192,0.9956140350877192,1.9912280701754383,0.0493662570523224,210.361505636466,0.0057736753364211,519467.0,13.1606,459.41,101542.0,58684.0,19.54730609007677,11.296942256308377,,,1.7303183150432826,204857.0,2.536,3.2,,,6.5,1.378,7.54,39.16,59.05,1.65,,,,,0.4,,,2.2,13.6,4.0,1.6,18.0,21.9,6.7,,1130.721,95.1,94.3,79.7,,271.9,49458.0,-0.1329702666921044,51.30532478469416,51.43829505138626,0.0060175612465922,0.0522258288894041,231.60114969212887,0.9956140350877192,1.0,1.9956140350877192,42.57,,10.704471261133827,19.74932262378737,458.92,2.1,-2.3272437603779506,-0.00024388591017110006,-0.002859571837081701,-3.4100000000000037,,0.5924709951745495,-0.20201653371060146,0.4900000000000091,-0.6071851600326491,0.0058561668043325,40.72666666666667,0,0,0,large,1,0,1,0,0.0,0.0,0.0,442.388258757036,6.132117396855113,13.160560489934117,1.1631508098056809,7.031494761954191,,
47110,포항시,경상북도,경상북도 포항시,2014,-3.725681982717457,47.055267170869215,50.78094915358667,-1935,24439,26374,50813,24439.0,26374.0,-1935.0,1.0,1.0,2.0,0.0448836849833835,215.8204193063504,0.0056228256591709,519368.0,13.1604,459.32,99100.0,62050.0,19.08084618065384,11.947189762962363,,,1.59709911361805,207515.0,2.503,3.3,,,5.9,1.404,7.88,33.07,59.8,2.3,,,,,0.5,,,2.2,15.3,4.0,1.5,20.0,20.2,6.3,,1130.721,95.5,94.5,80.1,,271.9,50813.0,-2.4602140270700548,46.3744568952407,48.83467092231075,0.0057736753364211,0.0493662570523224,210.361505636466,0.9956140350877192,0.9956140350877192,1.9912280701754383,39.16,59.05,11.296942256308377,19.54730609007677,459.41,2.2,-1.2654679556474022,-0.00015084967725020014,-0.0044825720689389,-6.089999999999996,0.75,0.6502475066539866,-0.46645990942293025,-0.09000000000003183,-2.1062887588265387,0.0058046874140614,38.26666666666666,0,0,0,large,1,0,1,0,0.0,0.0,0.0,395.0935654611654,6.131921899803237,13.16036989217855,1.1631508098056809,7.031494761954191,,
