panel_code,n_neighbors,neighbor_codes
43130,6,"[41670, 47280, 43770, 43760, 43150, 51130]"
43150,5,"[43130, 47280, 43800, 51750, 51130]"
43720,5,"[30110, 43110, 43730, 47250, 43760]"
43730,5,"[30110, 43720, 44710, 43740, 47250]"
43740,5,"[43730, 52730, 44710, 47150, 47250]"
43745,4,"[43110, 43750, 43770, 43760]"
43750,5,"[41550, 43110, 43745, 44130, 43770]"
43760,7,"[43110, 43130, 43720, 43745, 47250, 47280, 43770]"
43770,7,"[41500, 41550, 41670, 43130, 43745, 43750, 43760]"
43800,5,"[43150, 47900, 47280, 47210, 51750]"
44130,7,"[36110, 41220, 41550, 43110, 43750, 44150, 44200]"
44150,9,"[30200, 36110, 44130, 44760, 44230, 44250, 44790, 44810, 44200]"
44180,5,"[44760, 44770, 44790, 44800, 44825]"
44200,5,"[41220, 44130, 44150, 44810, 44270]"
44210,4,"[44800, 44810, 44825, 44270]"
44230,7,"[30170, 44150, 52140, 44760, 52710, 44710, 44250]"
44250,4,"[30170, 30200, 44150, 44230]"
44270,3,"[44200, 44210, 44810]"
44710,9,"[30110, 30140, 30170, 43730, 43740, 44230, 52720, 52710, 52730]"
44760,6,"[44150, 44180, 44230, 52140, 44770, 44790]"
44770,4,"[44180, 44760, 52140, 52130]"
44790,5,"[44150, 44180, 44760, 44800, 44810]"
44800,4,"[44180, 44210, 44790, 44810]"
44810,6,"[44150, 44200, 44210, 44270, 44790, 44800]"
44825,2,"[44180, 44210]"
46110,2,"[46830, 46840]"
46130,2,"[46150, 46230]"
46150,6,"[46130, 46780, 46230, 46720, 46730, 46790]"
46170,6,"[29155, 29200, 46830, 46840, 46790, 46860]"
46230,4,"[46130, 46150, 46730, 48850]"
46710,5,"[29170, 46720, 46790, 52770, 46880]"
46720,6,"[46150, 46710, 46730, 52190, 46790, 52770]"
46730,5,"[46150, 46230, 46720, 52190, 48850]"
46770,1,[46780]
46780,4,"[46150, 46770, 46800, 46790]"
46790,10,"[29110, 29155, 29170, 46150, 46170, 46710, 46720, 46780, 46830, 46800]"
46800,4,"[46780, 46790, 46810, 46830]"
46810,3,"[46800, 46820, 46830]"
46820,4,"[46810, 46890, 46830, 46900]"
46830,7,"[46110, 46170, 46790, 46800, 46810, 46820, 46840]"
46840,5,"[46110, 46170, 46830, 46910, 46860]"
46860,5,"[29200, 46170, 46840, 46870, 46880]"
46870,3,"[46860, 46880, 52790]"
46880,8,"[29170, 29200, 46710, 46860, 46870, 52770, 52180, 52790]"
46890,1,[46820]
46900,1,[46820]
46910,1,[46840]
47110,4,"[47130, 47230, 47750, 47770]"
47130,5,"[31200, 31710, 47110, 47820, 47230]"
47150,7,"[43740, 52730, 48880, 47840, 47850, 47190, 47250]"
