split,group,coef,se,p,extra
KNN-5 SDM,all,3463.289333122867,465.11569516538253,9.614531393253856e-14,"indirect=161.6(p=0.842), rho=-0.068(p=0.020)"
metro,capital,2875.978655615505,807.7376801373258,0.0003881597067836,N=1056
metro,non-capital,3823.650874234595,1622.1441767045071,0.0184976807463665,N=2512
city_size,large,1965.2614665832743,863.006895441185,0.0234323460813012,N=368
city_size,medium,5188.164443344355,922.470395415635,2.1870282918001752e-08,N=1776
city_size,small,5156.9027529065415,7219.507174243218,0.4751681953058271,N=1424
